ISO_code,Continent,Country/Region,Date,Susceptibles Smooth (S),Infected Smooth (I),Recovered Smooth (R),Deaths Smooth (D),Mu Smooth,Beta Smooth,Gamma Smooth,Positive Test Rate Smooth,Mobility Rate Smooth
ESP,Europe,Spain,2020-04-07,47208069.28571429,88317.42857142858,24383.42857142857,11843.857142857143,0.008800366207097125,0.06533599445879344,0.0841724430757709,0.272,-0.5895238095238096
ESP,Europe,Spain,2020-04-08,47201769.0,89191.14285714287,29037.857142857134,12616.0,0.008183375643411988,0.062236235304461075,0.06224723646838892,0.259,-0.5823809523809523
ESP,Europe,Spain,2020-04-09,47195889.42857143,89158.28571428571,34221.857142857145,13344.428571428567,0.007821484619245169,0.05995805702476855,0.06400314840519096,0.245,-0.5888095238095239
ESP,Europe,Spain,2020-04-10,47190307.42857143,88155.0,40109.57142857143,14042.0,0.007533266702849888,0.0585607086856582,0.07158476660435906,0.236,-0.6061904761904762
ESP,Europe,Spain,2020-04-11,47185041.85714285,86575.85714285714,46288.714285714275,14707.571428571433,0.007522491938709245,0.05818747926150801,0.06993598612749896,0.231,-0.6021428571428571
ESP,Europe,Spain,2020-04-12,47180015.42857143,84333.85714285714,52904.571428571435,15360.142857142857,0.007459593218573255,0.058413922710459636,0.0482041800827754,0.224,-0.6009523809523809
ESP,Europe,Spain,2020-04-13,47175240.57142858,81704.42857142858,59678.142857142855,15990.857142857143,0.006942805009194418,0.05974587590184986,0.03088967284386652,0.213,-0.6061904761904762
ESP,Europe,Spain,2020-04-14,47170869.28571428,78305.28571428571,66875.57142857142,16563.85714285714,0.007157448987328981,0.06267850854091167,0.02999885632735976,0.201,-0.6026190476190475
ESP,Europe,Spain,2020-04-15,47166665.85714286,74968.85714285714,73856.0,17123.285714285714,0.007439378647117093,0.06605620512754548,0.025256809941342082,0.189,-0.6045238095238095
ESP,Europe,Spain,2020-04-16,47162133.57142858,72049.14285714286,80755.42857142858,17675.85714285714,0.007901169743392259,0.06780355727911518,0.02092120555762309,0.178,-0.5923809523809523
ESP,Europe,Spain,2020-04-17,47157481.28571428,69367.0,87529.71428571429,18236.0,0.007075389151999808,0.06848720779911124,0.010774577101781887,0.165,-0.5714285714285714
ESP,Europe,Spain,2020-04-18,47153381.42857143,66266.14285714286,94239.42857142855,18727.0,0.007006594346634498,0.07051889544320912,0.0005733849748296606,0.154,-0.5735714285714286
ESP,Europe,Spain,2020-04-19,47148832.42857143,63823.42857142857,100767.71428571428,19190.428571428565,0.006945220549041128,0.06955498687737809,0.0005733849748296606,0.145,-0.574047619047619
ESP,Europe,Spain,2020-04-20,47144530.85714286,61526.42857142857,106924.0,19632.714285714286,0.00744730161884323,0.068351909097168,0.0005733849748296606,0.137,-0.5671428571428572
ESP,Europe,Spain,2020-04-21,47140011.28571428,59808.28571428573,112700.85714285714,20093.571428571428,0.007187539662710135,0.0648287267318145,0.000606268053056189,0.126,-0.5700000000000001
ESP,Europe,Spain,2020-04-22,47135619.14285715,58242.42857142857,118229.0,20523.428571428565,0.007017503887686342,0.06019245730373241,0.0007223334974803549,0.116,-0.5688095238095238
ESP,Europe,Spain,2020-04-23,47131608.28571429,56696.142857142855,123380.14285714286,20929.428571428565,0.006469510575040304,0.05547037166096354,0.0007766558595179105,0.106,-0.5692857142857143
ESP,Europe,Spain,2020-04-24,47128438.99999999,54620.714285714275,128264.57142857145,21289.714285714286,0.007494124678322604,0.05322142930707297,0.0011606458790314755,0.096,-0.5683333333333332
ESP,Europe,Spain,2020-04-25,47124980.0,53071.28571428573,132864.57142857142,21698.14285714286,0.007357408403467966,0.04843021335616469,0.001865582973452946,0.091,-0.5669047619047618
ESP,Europe,Spain,2020-04-26,47122266.57142858,51019.857142857145,137238.42857142858,22089.142857142866,0.007448997706906439,0.04616674780651054,0.002590244782419572,0.088,-0.5588095238095238
ESP,Europe,Spain,2020-04-27,47119511.0,49250.0,141382.57142857142,22470.42857142857,0.007337976308521922,0.042820182700715165,0.0034709833768701123,0.083,-0.5530952380952381
ESP,Europe,Spain,2020-04-28,47117135.42857143,47464.428571428565,145180.85714285713,22833.285714285717,0.007730774710815257,0.04049905486243709,0.004640264093976831,0.077,-0.547142857142857
ESP,Europe,Spain,2020-04-29,47115055.14285714,45535.28571428573,148824.85714285713,23198.714285714286,0.0075136308524987065,0.03887126954557455,0.004773535339834866,0.072,-0.540952380952381
ESP,Europe,Spain,2020-04-30,47113562.99999999,42706.857142857145,152804.57142857142,23539.571428571428,0.006526126681840764,0.04055203613080579,0.005382781246054505,0.068,-0.5304761904761905
ESP,Europe,Spain,2020-05-01,47111816.42857143,40072.857142857145,156896.7142857143,23828.0,0.008072224032614497,0.0404474214425005,0.005634265353112788,0.064,-0.5461904761904762
ESP,Europe,Spain,2020-05-02,47110291.14285714,37675.28571428572,160505.57142857142,24142.0,0.007974957155996396,0.04094606351643516,0.0056671605995251475,0.062,-0.5242857142857144
ESP,Europe,Spain,2020-05-03,47108886.57142858,34698.0,164591.14285714287,24438.285714285717,0.007896370909079358,0.042704720427106095,0.005875504227671018,0.062,-0.5030952380952382
ESP,Europe,Spain,2020-05-04,47107665.71428572,31787.142857142866,168450.42857142858,24710.714285714286,0.0080471963492205,0.04580248740023976,0.006285374250114403,0.059,-0.48428571428571426
ESP,Europe,Spain,2020-05-05,47106443.42857143,28694.857142857134,172509.14285714287,24966.571428571428,0.008195992017866784,0.04982631267075964,0.006408553360976969,0.057,-0.4661904761904761
ESP,Europe,Spain,2020-05-06,47105385.14285714,25564.857142857134,176471.42857142858,25192.571428571428,0.008939181051206517,0.05614854047638063,0.007326194352308848,0.055,-0.44928571428571423
ESP,Europe,Spain,2020-05-07,47104240.57142858,22886.42857142857,180076.2857142857,25410.714285714286,0.011188513127271269,0.06244077762952241,0.008844139123062672,0.053,-0.43738095238095237
ESP,Europe,Spain,2020-05-08,47103149.0,20918.14285714286,182885.2857142857,25661.571428571428,0.01011366559394482,0.0676997821862739,0.011044973373510044,0.052,-0.4028571428571429
ESP,Europe,Spain,2020-05-09,47102149.57142858,18670.14285714286,185935.8571428572,25858.42857142857,0.010777484757385632,0.07455154342365919,0.013482856272666544,0.051,-0.40476190476190477
ESP,Europe,Spain,2020-05-10,47101166.14285715,17137.285714285714,188258.2857142857,26052.285714285717,0.011124555774627272,0.0806118333397393,0.016111605497150048,0.05,-0.41452380952380946
ESP,Europe,Spain,2020-05-11,47099819.71428572,15921.428571428567,190632.57142857145,26240.285714285717,0.011693114520461055,0.07864633910863546,0.018505088493208508,0.048,-0.40761904761904766
ESP,Europe,Spain,2020-05-12,47098576.71428572,14965.0,192645.2857142857,26427.0,0.0118780966372421,0.07581485701940527,0.021241718020215912,0.046,-0.4064285714285714
ESP,Europe,Spain,2020-05-13,47097381.57142858,14267.142857142857,194360.1428571429,26605.142857142866,0.01256624962089351,0.07141300489832507,0.023465001063490663,0.043,-0.4026190476190476
ESP,Europe,Spain,2020-05-14,47096225.42857143,14093.285714285714,195511.42857142852,26783.857142857134,0.011796191628589978,0.06463844657075814,0.025303174406460315,0.041,-0.40476190476190477
ESP,Europe,Spain,2020-05-15,47095178.85714285,13516.0,196969.57142857145,26949.571428571428,0.01143997013794482,0.059089779145031815,0.027049968211569467,0.039,-0.40190476190476193
ESP,Europe,Spain,2020-05-16,47094161.71428571,13166.857142857143,198180.8571428572,27104.571428571428,0.009990826956518177,0.05335322875320818,0.028750659167964036,0.037,-0.394047619047619
ESP,Europe,Spain,2020-05-17,47093254.85714286,12830.857142857143,199289.1428571429,27239.142857142866,0.010575898868580869,0.04999542713518764,0.03082522769910872,0.036,-0.375
ESP,Europe,Spain,2020-05-18,47092659.14285714,12340.285714285714,200237.57142857145,27377.0,0.009742301342779884,0.052822149063630905,0.03340395638611874,0.035,-0.36523809523809525
ESP,Europe,Spain,2020-05-19,47092086.71428571,11823.714285714286,201204.0,27499.571428571428,0.009376329190466088,0.056807464634656225,0.03602871760959968,0.033,-0.3502380952380952
ESP,Europe,Spain,2020-05-20,47091534.71428572,11431.428571428567,202036.2857142857,27611.571428571428,0.007709944908536715,0.06179947820645097,0.04061690582113602,0.033,-0.3390476190476191
ESP,Europe,Spain,2020-05-21,47091035.14285714,10916.142857142857,202962.7142857143,27700.0,0.016342369825363388,0.06834549964980707,0.04570971420631492,0.032,-0.32023809523809527
ESP,Europe,Spain,2020-05-22,47090372.14285715,10571.42857142857,203803.42857142852,27867.0,0.01585062826620463,0.0705917338436898,0.051803350754863337,0.032,-0.30619047619047624
ESP,Europe,Spain,2020-05-23,47089716.14285714,10265.57142857143,204606.0,28026.285714285717,0.01696200637505961,0.07269021370715133,0.05832212198969167,0.032,-0.29380952380952385
ESP,Europe,Spain,2020-05-24,47088991.28571428,10031.0,205395.57142857145,28196.142857142866,0.01505428270752619,0.07298646740723834,0.0653791743592709,0.031,-0.2861904761904762
ESP,Europe,Spain,2020-05-25,47088396.14285714,9318.714285714286,206554.0,28345.142857142866,0.020571887306781642,0.07875889261799954,0.0715555200395556,0.03,-0.2773809523809524
ESP,Europe,Spain,2020-05-26,47087739.85714286,8739.142857142857,207610.2857142857,28524.714285714286,0.019081392598037854,0.0812126754967297,0.07744357883616541,0.03,-0.2680952380952381
ESP,Europe,Spain,2020-05-27,47087157.57142857,8140.571428571428,208627.2857142857,28688.571428571428,0.018400577599430992,0.08503443825624167,0.08225368570241136,0.028,-0.2578571428571429
ESP,Europe,Spain,2020-05-28,47086408.85714286,7755.142857142857,209604.7142857143,28845.285714285717,0.008329567047392558,0.08127386387474926,0.08670595893587056,0.028,-0.2461904761904762
ESP,Europe,Spain,2020-05-29,47085821.42857143,7403.0,210485.57142857145,28904.0,0.0076681168234488265,0.08027226081158982,0.09047340495823253,0.027,-0.23595238095238097
ESP,Europe,Spain,2020-05-30,47085205.71428572,7104.428571428572,211347.7142857143,28956.142857142866,0.006595234306848536,0.07657126852860152,0.09375735483482764,0.026,-0.22071428571428572
ESP,Europe,Spain,2020-05-31,47084623.0,6873.0,212120.0,28998.0,0.006595234306848536,0.07214105045848815,0.09560014628130012,0.026,-0.21095238095238097
ESP,Europe,Spain,2020-06-01,47084017.57142857,6978.7142857142835,212577.8571428572,29039.857142857134,0.00020639558551929487,0.06396300071548641,0.09700353205665138,0.025,-0.20714285714285713
ESP,Europe,Spain,2020-06-02,47083492.85714286,7052.142857142857,213027.7142857143,29041.285714285717,0.00022680374878460103,0.057736407952914626,0.09727988461892956,0.024,-0.20238095238095238
ESP,Europe,Spain,2020-06-03,47082911.85714285,7191.571428571428,213467.7142857143,29042.857142857134,0.00028151596753422817,0.04848028879037375,0.0965697939406194,0.024,-0.2007142857142857
ESP,Europe,Spain,2020-06-04,47082518.42857143,7171.857142857143,213878.8571428572,29044.857142857134,0.0002615795734381624,0.0458551801910476,0.09520114338230384,0.023,-0.20428571428571426
ESP,Europe,Spain,2020-06-05,47082173.57142857,7018.857142857143,214374.8571428572,29046.714285714286,0.00020532728258932024,0.04529655792204502,0.092880999017173,0.023,-0.1980952380952381
ESP,Europe,Spain,2020-06-06,47081876.14285714,6818.142857142857,214871.57142857145,29048.142857142866,0.00019057394442423666,0.046790191050846815,0.09087720304059776,0.023,-0.1938095238095238
