Country/Region,Date,Num Hospitalizations,Num Hospitalizations Smooth (7 days),Num UCI,Num UCI Smooth (7 days)
Spain,2020-03-21,3495,2826.1428571428573,340,279.0
Spain,2020-03-22,3333,3106.5714285714284,380,309.42857142857144
Spain,2020-03-23,4943,3509.5714285714284,448,342.42857142857144
Spain,2020-03-24,5307,3920.285714285714,511,379.7142857142857
Spain,2020-03-25,5207,4222.285714285715,465,401.85714285714283
Spain,2020-03-26,5040,4463.0,436,416.14285714285717
Spain,2020-03-27,4810,4590.714285714285,373,421.85714285714283
Spain,2020-03-28,3393,4576.142857142857,334,421.0
Spain,2020-03-29,2657,4479.571428571428,278,406.42857142857144
Spain,2020-03-30,3933,4335.285714285715,335,390.2857142857143
Spain,2020-03-31,3350,4055.714285714286,300,360.14285714285717
Spain,2020-04-01,3202,3769.285714285714,268,332.0
Spain,2020-04-02,2858,3457.5714285714284,215,300.42857142857144
Spain,2020-04-03,2766,3165.5714285714284,200,275.7142857142857
Spain,2020-04-04,1954,2960.0,161,251.0
Spain,2020-04-05,1527,2798.5714285714284,151,232.85714285714286
Spain,2020-04-06,2264,2560.1428571428573,150,206.42857142857142
Spain,2020-04-07,2191,2394.5714285714284,121,180.85714285714286
Spain,2020-04-08,1984,2220.5714285714284,134,161.71428571428572
Spain,2020-04-09,1634,2045.7142857142858,90,143.85714285714286
Spain,2020-04-10,1460,1859.142857142857,88,127.85714285714286
Spain,2020-04-11,1202,1751.7142857142858,68,114.57142857142857
Spain,2020-04-12,930,1666.4285714285713,82,104.71428571428571
Spain,2020-04-13,1182,1511.857142857143,88,95.85714285714286
Spain,2020-04-14,1334,1389.4285714285713,69,88.42857142857143
Spain,2020-04-15,1034,1253.7142857142858,74,79.85714285714286
Spain,2020-04-16,1053,1170.7142857142858,53,74.57142857142857
Spain,2020-04-17,930,1095.0,61,70.71428571428571
Spain,2020-04-18,621,1012.0,37,66.28571428571429
Spain,2020-04-19,565,959.8571428571429,36,59.714285714285715
Spain,2020-04-20,738,896.4285714285714,44,53.42857142857143
Spain,2020-04-21,745,812.2857142857143,42,49.57142857142857
Spain,2020-04-22,549,743.0,36,44.142857142857146
Spain,2020-04-23,517,666.4285714285714,44,42.857142857142854
Spain,2020-04-24,561,613.7142857142857,33,38.857142857142854
Spain,2020-04-25,349,574.8571428571429,26,37.285714285714285
Spain,2020-04-26,262,531.5714285714286,22,35.285714285714285
Spain,2020-04-27,483,495.14285714285717,30,33.285714285714285
Spain,2020-04-28,400,445.85714285714283,34,32.142857142857146
Spain,2020-04-29,348,417.14285714285717,24,30.428571428571427
Spain,2020-04-30,369,396.0,23,27.428571428571427
Spain,2020-05-01,243,350.57142857142856,20,25.571428571428573
Spain,2020-05-02,213,331.14285714285717,11,23.428571428571427
Spain,2020-05-03,193,321.2857142857143,13,22.142857142857142
Spain,2020-05-04,331,299.57142857142856,17,20.285714285714285
Spain,2020-05-05,296,284.7142857142857,16,17.714285714285715
Spain,2020-05-06,285,275.7142857142857,21,17.285714285714285
Spain,2020-05-07,254,259.2857142857143,21,17.0
Spain,2020-05-08,227,257.0,20,17.0
Spain,2020-05-09,140,246.57142857142858,6,16.285714285714285
Spain,2020-05-10,117,235.71428571428572,14,16.428571428571427
Spain,2020-05-11,151,210.0,6,14.857142857142858
Spain,2020-05-12,153,189.57142857142858,5,13.285714285714286
Spain,2020-05-13,124,166.57142857142858,12,12.0
Spain,2020-05-14,120,147.42857142857142,6,9.857142857142858
