ISO_code,Continent,Country/Region,Date,Total Confirmed,New Confirmed,New Confirmed Smooth (7 days),Total Confirmed Fixed (sum New Confirmed),Total Alive Confirmed Fixed (sum New Confirmed - Total Deaths),Accumulated Alive Confirmed in 14 days,Accumulated Alive Confirmed Smooth in 14 days
DEU,Europe,Germany,2021-05-04,3462297,24111,17676.14285714286,3462297,3378375,260553,270399.28571428574
DEU,Europe,Germany,2021-05-05,3484755,22458,16846.85714285714,3484755,3400582,258664,267562.14285714284
DEU,Europe,Germany,2021-05-06,3502672,17917,15947.57142857143,3502672,3418215,244841,262883.14285714284
DEU,Europe,Germany,2021-05-07,3517762,15090,16056.714285714286,3517762,3433071,237724,258550.2857142857
DEU,Europe,Germany,2021-05-08,3530887,13125,15283.857142857143,3530887,3446066,236415,254272.57142857142
DEU,Europe,Germany,2021-05-09,3530887,0,14030.142857142857,3530887,3446011,221022,246716.57142857142
DEU,Europe,Germany,2021-05-10,3538208,7321,14288.857142857143,3538208,3453058,222446,240237.85714285713
DEU,Europe,Germany,2021-05-11,3557904,19696,13658.142857142857,3557904,3472487,216280,233913.14285714287
DEU,Europe,Germany,2021-05-12,3564494,6590,11391.285714285714,3564494,3479011,194804,224790.2857142857
DEU,Europe,Germany,2021-05-13,3578125,13631,10779.0,3578125,3492240,184098,216112.7142857143
DEU,Europe,Germany,2021-05-14,3588502,10377,10105.714285714286,3588502,3502440,180204,207895.57142857142
DEU,Europe,Germany,2021-05-15,3595872,7370,9283.57142857143,3595872,3509740,169079,198276.14285714287
DEU,Europe,Germany,2021-05-16,3602939,7067,10293.142857142857,3602939,3516741,167389,190614.2857142857
DEU,Europe,Germany,2021-05-17,3608320,5381,10016.0,3608320,3521902,167353,182743.85714285713
DEU,Europe,Germany,2021-05-18,3615896,7576,8284.57142857143,3615896,3529193,150818,173392.14285714287
DEU,Europe,Germany,2021-05-19,3627777,11881,9040.42857142857,3627777,3540837,140255,165599.42857142858
DEU,Europe,Germany,2021-05-20,3638504,10727,8625.57142857143,3638504,3551337,133122,158317.14285714287
DEU,Europe,Germany,2021-05-21,3646600,8096,8299.714285714286,3646600,3559265,126194,150601.42857142858
DEU,Europe,Germany,2021-05-22,3653019,6419,8163.857142857143,3653019,3565602,119536,143523.85714285713
DEU,Europe,Germany,2021-05-23,3657662,4643,7817.571428571428,3657662,3570201,124190,137352.57142857142
DEU,Europe,Germany,2021-05-24,3659990,2328,7381.428571428572,3659990,3572497,119439,130507.71428571429
DEU,Europe,Germany,2021-05-25,3662568,2578,6667.428571428572,3662568,3574803,102316,123578.85714285714
DEU,Europe,Germany,2021-05-26,3667041,4473,5609.142857142857,3667041,3579009,99998,117827.85714285714
DEU,Europe,Germany,2021-05-27,3673990,6949,5069.428571428572,3673990,3585766,93526,112171.28571428571
DEU,Europe,Germany,2021-05-28,3680159,6169,4794.142857142857,3680159,3591767,89327,106904.57142857143
DEU,Europe,Germany,2021-05-29,3684672,4513,4521.857142857143,3684672,3596227,86487,102183.28571428571
DEU,Europe,Germany,2021-05-30,3687715,3043,4293.285714285715,3687715,3599252,82511,96229.14285714286
DEU,Europe,Germany,2021-05-31,3689921,2206,4275.857142857143,3689921,3601288,79386,90507.28571428571
DEU,Europe,Germany,2021-06-01,3692908,2987,4334.285714285715,3692908,3604095,74902,86591.0
DEU,Europe,Germany,2021-06-02,3698004,5096,4423.285714285715,3698004,3609027,68190,82047.0
DEU,Europe,Germany,2021-06-03,3701692,3688,3957.4285714285716,3701692,3612629,61292,77442.14285714286
DEU,Europe,Germany,2021-06-04,3704685,2993,3503.714285714286,3704685,3615501,56236,72714.85714285714
DEU,Europe,Germany,2021-06-05,3706934,2249,3180.285714285714,3706934,3617674,52072,67798.42857142857
DEU,Europe,Germany,2021-06-06,3708898,1964,3026.1428571428573,3708898,3619617,49416,63070.57142857143
DEU,Europe,Germany,2021-06-07,3710342,1444,2917.285714285714,3710342,3620920,48423,58647.28571428572
DEU,Europe,Germany,2021-06-08,3712595,2253,2812.4285714285716,3712595,3623066,48263,54841.71428571428
DEU,Europe,Germany,2021-06-09,3715870,3275,2552.285714285714,3715870,3626246,47237,51848.42857142857
DEU,Europe,Germany,2021-06-10,3718617,2747,2417.8571428571427,3718617,3628892,43126,49253.28571428572
DEU,Europe,Germany,2021-06-11,3720811,2194,2303.714285714286,3720811,3630958,39191,46818.28571428572
DEU,Europe,Germany,2021-06-12,3722295,1484,2194.4285714285716,3722295,3632422,36195,44550.142857142855
DEU,Europe,Germany,2021-06-13,3723295,1000,2056.714285714286,3723295,3633414,34162,42371.0
DEU,Europe,Germany,2021-06-14,3724168,873,1975.142857142857,3724168,3634192,32904,40154.0
DEU,Europe,Germany,2021-06-15,3725328,1160,1819.0,3725328,3635217,31122,37705.28571428572
DEU,Europe,Germany,2021-06-16,3726767,1439,1556.7142857142858,3726767,3636550,27523,34889.0
DEU,Europe,Germany,2021-06-17,3727668,901,1293.0,3727668,3637359,24730,32261.0
DEU,Europe,Germany,2021-06-18,3728601,933,1112.857142857143,3728601,3638195,22694,29904.285714285714
DEU,Europe,Germany,2021-06-19,3729597,996,1043.142857142857,3729597,3639175,21501,27805.14285714286
DEU,Europe,Germany,2021-06-20,3730126,529,975.8571428571429,3730126,3639694,20077,25793.0
DEU,Europe,Germany,2021-06-21,3730619,493,921.5714285714286,3730619,3640110,19190,23833.85714285714
