ISO_code,Continent,Country/Region,Date,Mu Raw,Mu Smooth (7 days average),Beta Raw,Beta Smooth (7 days average),Beta Fixed Raw (No negative values),Beta Fixed Smooth,R0 Raw,R0 Smooth (7 days average),R0 Fixed Raw (No negative values),R0 Fixed Smooth
ESP,Europe,Spain,2020-02-03,0,0.0,0,0.029761905390686957,0,0.029761905390686957,0.0,0.42857143762589217,0.0,0.42857143762589217
ESP,Europe,Spain,2020-02-04,0,0.0,0,0.039682540520915945,0,0.039682540520915945,0.0,0.5714285835011895,0.0,0.5714285835011895
ESP,Europe,Spain,2020-02-05,0,0.0,0,0.04960317565114493,0,0.04960317565114493,0.0,0.7142857293764869,0.0,0.7142857293764869
ESP,Europe,Spain,2020-02-06,0,0.0,0,0.05952381078137392,0,0.05952381078137392,0.0,0.8571428752517845,0.0,0.8571428752517845
ESP,Europe,Spain,2020-02-07,0.0,0.0,0.0694444459116029,0.06944444591160291,0.0694444459116029,0.06944444591160291,1.0000000211270816,1.0000000211270819,1.0000000211270816,1.0000000211270819
ESP,Europe,Spain,2020-02-08,0.0,0.0,0.0694444459116029,0.2123015917869004,0.0694444459116029,0.2123015917869004,1.0000000211270816,3.0571429217313653,1.0000000211270816,3.0571429217313653
ESP,Europe,Spain,2020-02-09,0.0,0.0,0.0694444459116029,0.21230159199649443,0.0694444459116029,0.21230159199649443,1.0000000211270816,3.0571429247495194,1.0000000211270816,3.0571429247495194
ESP,Europe,Spain,2020-02-10,0.0,0.0,0.0694444459116029,0.2123015922060885,0.0694444459116029,0.2123015922060885,1.0000000211270816,3.057142927767674,1.0000000211270816,3.057142927767674
ESP,Europe,Spain,2020-02-11,0.0,0.0,0.0694444459116029,0.21230159241568258,0.0694444459116029,0.21230159241568258,1.0000000211270816,3.057142930785829,1.0000000211270816,3.057142930785829
ESP,Europe,Spain,2020-02-12,0.0,0.0,0.0694444459116029,0.21230159262527667,0.0694444459116029,0.21230159262527667,1.0000000211270816,3.057142933803984,1.0000000211270816,3.057142933803984
ESP,Europe,Spain,2020-02-13,0.0,0.0,0.0694444459116029,0.21230159283487074,0.0694444459116029,0.21230159283487074,1.0000000211270816,3.0571429368221383,1.0000000211270816,3.0571429368221383
ESP,Europe,Spain,2020-02-14,0.0,0.0,1.0694444670386851,0.14087301859773874,1.0694444670386851,0.20238095770464176,15.400000325357064,2.0285714678074376,15.400000325357064,2.9142857909468414
ESP,Europe,Spain,2020-02-15,0.0,0.0,0.06944444737876143,-0.001984127067964644,0.06944444737876143,0.05952381203893837,1.0000000422541646,-0.02857142977869087,1.0000000422541646,0.8571428933607125
ESP,Europe,Spain,2020-02-16,0.0,0.0,0.06944444737876143,-0.001984127067964644,0.06944444737876143,0.05952381203893837,1.0000000422541646,-0.02857142977869087,1.0000000422541646,0.8571428933607125
ESP,Europe,Spain,2020-02-17,0.0,0.0,0.06944444737876143,-0.001984127067964644,0.06944444737876143,0.05952381203893837,1.0000000422541646,-0.02857142977869087,1.0000000422541646,0.8571428933607125
ESP,Europe,Spain,2020-02-18,0.0,0.0,0.06944444737876143,-0.001984127067964644,0.06944444737876143,0.05952381203893837,1.0000000422541646,-0.02857142977869087,1.0000000422541646,0.8571428933607125
ESP,Europe,Spain,2020-02-19,0.0,0.0,0.06944444737876143,-0.001984127067964644,0.06944444737876143,0.05952381203893837,1.0000000422541646,-0.02857142977869087,1.0000000422541646,0.8571428933607125
ESP,Europe,Spain,2020-02-20,0.0,0.0,-0.4305555737483211,-0.001984127067964644,0,0.05952381203893837,-6.200000261975823,-0.02857142977869087,0.0,0.8571428933607125
ESP,Europe,Spain,2020-02-21,0.0,0.0,0.06944444737876143,0.06944444737876143,0.06944444737876143,0.06944444737876143,1.0000000422541646,1.0000000422541646,1.0000000422541646,1.0000000422541646
ESP,Europe,Spain,2020-02-22,0.0,0.0,0.06944444737876143,-0.07341270151469072,0.06944444737876143,0.05952381203893837,1.0000000422541646,-1.0571429018115464,1.0000000422541646,0.8571428933607125
ESP,Europe,Spain,2020-02-23,0.0,0.0,0.06944444737876143,-0.08333333685451379,0.06944444737876143,0.049603176699115306,1.0000000422541646,-1.2000000507049984,1.0000000422541646,0.7142857444672603
ESP,Europe,Spain,2020-02-24,0.0,0.0,0.06944444737876143,-0.09325397219433684,0.06944444737876143,0.039682541359292244,1.0000000422541646,-1.3428571995984504,1.0000000422541646,0.5714285955738083
ESP,Europe,Spain,2020-02-25,0.0,0.0,0.06944444737876143,0.15674606033466607,0.06944444737876143,0.28968257388829516,1.0000000422541646,2.257143268819191,1.0000000422541646,4.17142906399145
ESP,Europe,Spain,2020-02-26,0.0,0.0,0.06944444737876143,0.18272009574804923,0.06944444737876143,0.31565660930167827,1.0000000422541646,2.631169378771909,1.0000000422541646,4.545455173944167
ESP,Europe,Spain,2020-02-27,0.0,0.0,0.06944444737876143,0.3695333444882403,0.06944444737876143,0.5024698580418694,1.0000000422541646,5.321280160630661,1.0000000422541646,7.235565955802919
ESP,Europe,Spain,2020-02-28,0.0,0.0,-0.9305555948754036,0.43143815453259965,0,0.5643746680862287,-13.400000566205811,6.212709425269435,0.0,8.126995220441692
ESP,Europe,Spain,2020-02-29,0,0.0,0,0.7038635419338332,0,0.7038635419338332,0.0,10.135635003847197,0.0,10.135635003847197
ESP,Europe,Spain,2020-03-01,0,0.0,0,0.776502075799091,0,0.776502075799091,0.0,11.18162989150691,0.0,11.18162989150691
