ISO_code,Continent,Country/Region,Date,Mu Raw,Mu Smooth (7 days average),Beta Raw,Beta Smooth (7 days average),Beta Fixed Raw (No negative values),Beta Fixed Smooth,Gamma Raw,Gamma Smooth (7 days average),R0 Raw,R0 Smooth (7 days average),R0 Fixed Raw (No negative values),R0 Fixed Smooth
ESP,Europe,Spain,2020-03-10,0.0045871559633027525,0.010649480726416558,0.16972556669111233,0.41338575036207575,0.16972556669111233,0.41338575036207575,0.0,0.001152465076175979,0,358.69698692626815,0,358.69698692626815
ESP,Europe,Spain,2020-03-11,0.007874015748031496,0.01005881397277085,0.5551211478114806,0.38913924083477397,0.5551211478114806,0.38913924083477397,0.0,0.0012817475583996377,0,303.6005321676952,0,303.6005321676952
ESP,Europe,Spain,2020-03-12,0.01272264631043257,0.013982825057248455,0.2544550765659215,0.5011199378331008,0.2544550765659215,0.5011199378331008,0.0,0.0023821424059625868,0,210.36523113764312,0,210.36523113764312
ESP,Europe,Spain,2020-03-13,0.014344262295081968,0.013913309456161257,0.3545119416226772,0.4974492466227474,0.3545119416226772,0.4974492466227474,0.0,0.0027486596463697026,0,180.97884446324755,0,180.97884446324755
ESP,Europe,Spain,2020-03-14,0.016819571865443424,0.014047281693496668,0.6116294915768258,0.4794867097610579,0.6116294915768258,0.4794867097610579,0.0,0.0036544357106565784,0,131.2067710926868,0,131.2067710926868
ESP,Europe,Spain,2020-03-15,0.006711409395973154,0.012664206732440054,0.5963701828002866,0.4333684664722319,0.5963701828002866,0.4333684664722319,0.003835091083413231,0.004347076403297271,155.50352516517475,99.69193689430455,155.50352516517475,99.69193689430455
ESP,Europe,Spain,2020-03-16,0.011487303506650543,0.014583673865143107,0.3518868454662258,0.375393633573255,0.3518868454662258,0.375393633573255,0.004232164449818622,0.00446225627866259,83.14583462873392,84.12641724956383,83.14583462873392,84.12641724956383
ESP,Europe,Spain,2020-03-17,0.00045248868778280545,0.014106067558642143,0.0,0.3530793661435183,0.0,0.3530793661435183,0.0009049773755656109,0.004581577744917155,0.0,77.0650168569611,0.0,77.0650168569611
ESP,Europe,Spain,2020-03-18,0.035342093339374714,0.016304488119889583,1.3389860267997682,0.39740248585049237,1.3389860267997682,0.39740248585049237,0.007702763932940644,0.004845871228321196,173.83189183218167,82.00847012357951,173.83189183218167,82.00847012357951
ESP,Europe,Spain,2020-03-19,0.012236037102822183,0.013058578561753598,0.22876023809344792,0.22683952043581343,0.22876023809344792,0.22683952043581343,0.0025656206828498125,0.004922056510943876,89.16370203226928,46.08632995810803,89.16370203226928,46.08632995810803
ESP,Europe,Spain,2020-03-20,0.015282067956429848,0.01381049796241365,0.22877418359085058,0.23155400329495374,0.22877418359085058,0.23155400329495374,0.006340432450008129,0.00527087916993738,36.081794955572356,43.93081226669529,36.081794955572356,43.93081226669529
ESP,Europe,Spain,2020-03-21,0.007138047138047138,0.014039795340392238,0.2888017885550444,0.21950735942311722,0.2888017885550444,0.21950735942311722,0.0048484848484848485,0.005373835323706811,59.56536888947791,40.84742948016195,59.56536888947791,40.84742948016195
ESP,Europe,Spain,2020-03-22,0.020147679324894516,0.01594338487496127,0.1905463525074478,0.2128083335581336,0.1905463525074478,0.2128083335581336,0.004641350210970464,0.0067909679253496625,41.05407776751375,31.336966379085975,41.05407776751375,31.336966379085975
ESP,Europe,Spain,2020-03-23,0.008144059361143787,0.015299254474236882,0.19568697345806912,0.20695094265300454,0.19568697345806912,0.20695094265300454,0.005067414713600579,0.008892459835335093,38.616727565805746,23.272631699798513,38.616727565805746,23.272631699798513
ESP,Europe,Spain,2020-03-24,0.015841432616514883,0.01751998725230702,0.31026183794881856,0.21787175170511233,0.31026183794881856,0.21787175170511233,0.002755031759393893,0.010439446444221094,112.61642879103367,20.870048318100082,112.61642879103367,20.870048318100082
ESP,Europe,Spain,2020-03-25,0.012620726432422824,0.017607055558125747,0.14504526889701583,0.2006493027195983,0.14504526889701583,0.2006493027195983,0.008236060911299402,0.01004259731688284,17.611000022841267,19.979821592794742,17.611000022841267,19.979821592794742
ESP,Europe,Spain,2020-03-26,0.017499472907442547,0.017960944800902205,0.2617616181074299,0.2020905253872218,0.2617616181074299,0.2020905253872218,0.005007379295804343,0.016893517723817076,52.27517282878064,11.96260771090366,52.27517282878064,11.96260771090366
ESP,Europe,Spain,2020-03-27,0.016887149602279976,0.017634183081912967,0.14444767648799495,0.18407539566410563,0.14444767648799495,0.18407539566410563,0.007061125526394147,0.01900277473358133,20.45674955756791,9.686764077606583,20.45674955756791,9.686764077606583
ESP,Europe,Spain,2020-03-28,0.020463173880030373,0.01714265480677332,0.24190860750015883,0.17955061200333527,0.24190860750015883,0.17955061200333527,0.014768413059984813,0.021066113343954664,16.38013553098762,8.523195953223182,16.38013553098762,8.523195953223182
ESP,Europe,Spain,2020-03-29,0.01563876651982379,0.01620160163764044,0.14954461617154452,0.16205594051398084,0.14954461617154452,0.16205594051398084,0.01935179358086847,0.023496208825534916,7.727687645417374,6.897110155824956,7.727687645417374,6.897110155824956
