ISO_code,Continent,Country/Region,Date,Mu Raw,Mu Smooth (7 days average),Mu Fixed Raw,Mu Fixed Smooth,Beta,Beta Fixed Smooth,Gamma Raw,Gamma Smooth (7 days average),Gamma Fixed,Gamma Fixed Smooth,R0 Raw,R0 Fixed Smooth (Gamma = 1/14),R0 Fixed Smooth (Mean Gamma)
ESP,Europe,Spain,2020-02-03,0.01,0.010716436218502648,0.01,0.010716436218502648,0.045,0.03994075670148489,0.07142857142857142,0.039652678845496496,0.07142857142857142,0.042237508052353566,0.6475376073128947,0.5591705938207885,0.574838134167497
ESP,Europe,Spain,2020-02-04,0.01,0.01130251620815548,0.01,0.01130251620815548,0.045,0.047611134324488394,0.07142857142857142,0.026831811217170175,0.07142857142857142,0.0320334264197005,0.6475376073128947,0.6665558805428375,0.6852322760241917
ESP,Europe,Spain,2020-02-05,0.01,0.011208906644777033,0.01,0.011208906644777033,0.045,0.05880913621305865,0.07142857142857142,0.015204273990672906,0.07142857142857142,0.021829344787047438,0.6475376073128947,0.8233279069828212,0.8463969369779117
ESP,Europe,Spain,2020-02-06,0.01,0.011511747431090322,0.01,0.011511747431090322,0.045,0.072382952423151,0.07142857142857142,0.003901009334897262,0.07142857142857142,0.011625263154394383,0.6475376073128947,1.013361333924114,1.0417549579102474
ESP,Europe,Spain,2020-02-07,0.00755949434704741,0.014457585094936538,0.00755949434704741,0.014457585094936538,0.013621919872801229,0.08753341026843138,0.004974135326094623,-0.008355105534802261,0.004974135326094623,0.0014211815217413208,0.19601567558759286,1.2254677437580395,1.2598044301487268
ESP,Europe,Spain,2020-02-08,0.00755949434704741,0.01379570200473844,0.00755949434704741,0.01379570200473844,0.013621919872801229,0.10797843267251918,0.004974135326094623,-0.007031451718268411,0.004974135326094623,0.0027448353382751724,0.19601567558759286,1.5116980574152685,1.55405470236106
ESP,Europe,Spain,2020-02-09,0.01989606483542372,0.014144345669445951,0.01989606483542372,0.014144345669445951,0.07234145716479182,0.1124610155478333,-0.018093804447999507,0.00246203915351399,0,0.012238326210057573,1.040973646267057,1.5744542176696663,1.6185692431234024
ESP,Europe,Spain,2020-02-10,0.014102559927569812,0.012030981471184615,0.014102559927569812,0.012030981471184615,0.09869264336102446,0.10506739867870554,-0.01831750196971276,0.01719783941402842,0,0.024389297263714926,1.4201599586973914,1.4709435815018777,1.5121583166213333
ESP,Europe,Spain,2020-02-11,0.009344733056350895,0.011383861718304475,0.009344733056350895,0.011383861718304475,0.12338601321999183,0.09262215924487492,-0.009964189156909452,0.03406441311315335,0,0.03863908496716661,1.7754907505855713,1.2967102294282489,1.3330430767955193
ESP,Europe,Spain,2020-02-12,0.012119885504193025,0.011086135032901562,0.012119885504193025,0.011086135032901562,0.14001671347064645,0.07710662463266042,-0.007694281161858135,0.05484600470585529,0,0.057997220966024346,2.014801947213279,1.079492744857246,1.1097393213420075
ESP,Europe,Spain,2020-02-13,0.03062086364692349,0.010352746309832128,0.03062086364692349,0.010352746309832128,0.15105320491696259,0.057774752032156186,-0.014364232659325217,0.0794488807012432,0,0.08150091393828965,2.173614019752763,0.8088465284501867,0.8315098010879639
ESP,Europe,Spain,2020-02-14,0.0029263127156607324,0.006013784947378556,0.0029263127156607324,0.006013784947378556,0.15673707670141585,0.03433427493838186,0.014239712041831583,0.10848859007691113,0.014239712041831583,0.10848859007691113,2.255403369432277,0.4806798491373461,0.4941481377301879
ESP,Europe,Spain,2020-02-15,0.01,0.007896782297041905,0.01,0.007896782297041905,0.045,0.01675156248450779,0.07142857142857142,0.10907680893299157,0.07142857142857142,0.10907680893299157,0.6475376073128947,0.23452187478310907,0.241093001691345
ESP,Europe,Spain,2020-02-16,0.005102515447594363,0.008769252891799643,0.005102515447594363,0.008769252891799643,0.020586139080897632,0.015131289559407396,0.08505679737560148,0.1014951907338235,0.08505679737560148,0.1014951907338235,0.2962288720945539,0.21183805383170357,0.21777359710249317
ESP,Europe,Spain,2020-02-17,0.009572721657408818,0.009816205875992415,0.009572721657408818,0.009816205875992415,0.011575967324210122,0.016371319089819907,0.09974851392416177,0.10119708178967927,0.09974851392416177,0.10119708178967927,0.16657498185447275,0.22919846725747872,0.23562043628239343
ESP,Europe,Spain,2020-02-18,0.007260646258530502,0.008234803803872422,0.007260646258530502,0.008448674210648297,0.014777270934490449,0.016621649500145764,0.13550695199200416,0.10867910013095115,0.13550695199200416,0.10867910013095115,0.21264085918965175,0.2327030930020407,0.23922325900987945
ESP,Europe,Spain,2020-02-19,0.006986164442707001,0.005201103886674441,0.006986164442707001,0.007411439030858225,0.004693605267116692,0.045309476030846,0.1645258508058572,0.1066354713710023,0.1645258508058572,0.1066354713710023,0.06753968720755428,0.634332664431844,0.6521061895832868
ESP,Europe,Spain,2020-02-20,0.0002481341097484807,0.0014358519100147232,0.0002481341097484807,0.00641341553904294,-0.01303013473945765,0.09454721019495411,0.18891373297035033,0.0841724430757709,0.18891373297035033,0.0841724430757709,-0.18750005049228968,1.3236609427293577,1.3607489288551462
ESP,Europe,Spain,2020-02-21,0.016107294163304166,-0.0009079903844754152,0.016107294163304166,0.006377967809078872,0.03365808952429726,0.16128098140374503,0.018357244034394725,0.06224723646838893,0.018357244034394725,0.06224723646838893,0.4843306390508145,2.2579337396524304,2.3211993483184266
ESP,Europe,Spain,2020-02-22,0.016107294163304166,-0.0030725440311336317,0.016107294163304166,0.004213414162420655,0.03365808952429726,0.240715748945277,0.018357244034394725,0.06400314840519096,0.018357244034394725,0.06400314840519096,0.4843306390508145,3.370020485233878,3.4644459298211125
