country_region_code,country_region,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,average_perc,average_rate
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-03-17,-83.0,-39.0,-73.0,-74.0,-59.0,25.0,-50.5,-0.505
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-03-18,-84.0,-36.0,-73.0,-76.0,-60.0,26.0,-50.5,-0.505
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-03-19,-88.0,-58.0,-77.0,-80.0,-71.0,31.0,-57.166666666666664,-0.5716666666666667
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-03-20,-87.0,-39.0,-79.0,-80.0,-66.0,32.0,-53.166666666666664,-0.5316666666666666
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-03-21,-92.0,-53.0,-87.0,-84.0,-63.0,26.0,-58.833333333333336,-0.5883333333333334
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-03-22,-94.0,-73.0,-89.0,-87.0,-65.0,22.0,-64.33333333333333,-0.6433333333333333
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-03-23,-85.0,-46.0,-77.0,-81.0,-65.0,28.0,-54.333333333333336,-0.5433333333333333
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-03-24,-87.0,-50.0,-79.0,-81.0,-67.0,29.0,-55.833333333333336,-0.5583333333333333
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-03-25,-87.0,-51.0,-78.0,-82.0,-67.0,30.0,-55.833333333333336,-0.5583333333333333
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-03-26,-87.0,-52.0,-78.0,-82.0,-68.0,30.0,-56.166666666666664,-0.5616666666666666
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-03-27,-88.0,-49.0,-80.0,-83.0,-68.0,33.0,-55.833333333333336,-0.5583333333333333
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-03-28,-92.0,-57.0,-86.0,-86.0,-64.0,26.0,-59.833333333333336,-0.5983333333333334
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-03-29,-94.0,-76.0,-89.0,-88.0,-64.0,22.0,-64.83333333333333,-0.6483333333333333
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-03-30,-89.0,-55.0,-80.0,-84.0,-74.0,31.0,-58.5,-0.585
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-03-31,-92.0,-55.0,-82.0,-84.0,-76.0,32.0,-59.5,-0.595
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-04-01,-92.0,-53.0,-81.0,-84.0,-75.0,33.0,-58.666666666666664,-0.5866666666666667
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-04-02,-92.0,-52.0,-81.0,-84.0,-75.0,33.0,-58.5,-0.585
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-04-03,-89.0,-48.0,-82.0,-84.0,-74.0,36.0,-56.833333333333336,-0.5683333333333334
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-04-04,-92.0,-56.0,-86.0,-86.0,-65.0,26.0,-59.833333333333336,-0.5983333333333334
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-04-05,-94.0,-77.0,-90.0,-89.0,-68.0,23.0,-65.83333333333333,-0.6583333333333333
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-04-06,-87.0,-51.0,-79.0,-83.0,-74.0,31.0,-57.166666666666664,-0.5716666666666667
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-04-07,-89.0,-41.0,-79.0,-83.0,-74.0,31.0,-55.833333333333336,-0.5583333333333333
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-04-08,-88.0,-31.0,-77.0,-82.0,-74.0,30.0,-53.666666666666664,-0.5366666666666666
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-04-09,-93.0,-66.0,-83.0,-88.0,-84.0,36.0,-63.0,-0.63
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-04-10,-96.0,-90.0,-88.0,-92.0,-90.0,42.0,-69.0,-0.69
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-04-11,-92.0,-44.0,-85.0,-84.0,-63.0,26.0,-57.0,-0.57
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-04-12,-94.0,-74.0,-89.0,-89.0,-67.0,23.0,-65.0,-0.65
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-04-13,-90.0,-65.0,-80.0,-85.0,-77.0,32.0,-60.833333333333336,-0.6083333333333334
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-04-14,-87.0,-41.0,-75.0,-79.0,-67.0,29.0,-53.333333333333336,-0.5333333333333333
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-04-15,-88.0,-46.0,-77.0,-81.0,-68.0,30.0,-55.0,-0.55
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-04-16,-88.0,-46.0,-76.0,-80.0,-67.0,30.0,-54.5,-0.545
ES,Spain,ChIJi7xhMnjjQgwR7KNoB5Qs7KY,2020-04-17,-89.0,-45.0,-77.0,-81.0,-67.0,33.0,-54.333333333333336,-0.5433333333333333
