Country/Region,Date,Daily Confirmed Smooth,Daily Deaths Smooth,Positive Test Rate Smooth,Mobility Rate Smooth,Num Hospitalizations Smooth,Num UCI Smooth,Beta Smooth,Gamma Smooth,Mu Smooth
Spain,2020-03-21,2711.8571428571427,168.57142857142858,0.395,-0.5285714285714286,2826.1428571428573,279.0,0.1935317998669637,0.0422375080523535,0.0140397953403922
Spain,2020-03-22,2995.714285714286,211.8571428571429,0.406,-0.5457142857142857,3106.5714285714284,309.42857142857144,0.190060977549505,0.0320334264197005,0.0159433848749612
Spain,2020-03-23,3599.1428571428573,281.2857142857143,0.416,-0.5554761904761905,3509.5714285714284,342.42857142857144,0.1864088141528808,0.0218293447870474,0.0152992544742368
Spain,2020-03-24,4019.571428571429,325.0,0.427,-0.5630952380952381,3920.285714285714,379.7142857142857,0.1817815366191864,0.0116252631543943,0.017519987252307
Spain,2020-03-25,5086.428571428572,432.0,0.433,-0.5707142857142857,4222.285714285715,401.8571428571428,0.1732455039047787,0.0014211815217413,0.0176070555581257
Spain,2020-03-26,5689.0,505.0,0.434,-0.5692857142857143,4463.0,416.1428571428572,0.1647280627286211,0.0027448353382751,0.0179609448009022
Spain,2020-03-27,6472.714285714285,585.0,0.427,-0.5730952380952381,4590.714285714285,421.8571428571428,0.1534464057740852,0.0122383262100575,0.0176341830819129
Spain,2020-03-28,6837.285714285715,658.1428571428571,0.421,-0.5745238095238095,4576.142857142857,421.0,0.1428716738260708,0.0243892972637149,0.0171426548067733
Spain,2020-03-29,7334.571428571428,718.7142857142857,0.414,-0.5752380952380953,4479.571428571428,406.4285714285714,0.130998036564282,0.0386390849671666,0.0162016016376404
Spain,2020-03-30,7545.714285714285,772.1428571428571,0.403,-0.5811904761904761,4335.285714285715,390.2857142857143,0.1205168637324661,0.0579972209660243,0.0154801923451304
Spain,2020-03-31,8005.428571428572,808.0,0.385,-0.5864285714285715,4055.714285714286,360.1428571428572,0.1090931403201258,0.0815009139382896,0.0138254326048805
Spain,2020-04-01,7800.428571428572,820.0,0.364,-0.5904761904761905,3769.285714285714,332.0,0.1003973369845119,0.1084885900769111,0.0131609480235149
